tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,hunt, prey_p_month,age_years,animal-reproductive-condition,animal-sex,hrs_indoors,study-site
TamariAlmondTag,TamariAlmond,Felis catus,02:21.0,47:18.0,No,,5,Spayed,f,12,NZ
ZeusIITag,ZeusII,Felis catus,02:23.0,16:27.0, Yes,21,1,Neutered,m,12,NZ
CazadorTag,Cazador,Felis catus,02:33.0,52:00.0, No,,0.4,Neutered,m,19,NZ
AxelTag,Axel,Felis catus,03:11.0,10:11.0, No,,0.9,Neutered,m,8,NZ
PabloTag,Pablo,Felis catus,20:23.0,41:28.0, Yes,6,3,Neutered,m,10,NZ
PoppyIVTag,PoppyIV,Felis catus,40:34.0,24:46.0, No,,2,Spayed,f,10,NZ
AliceTag,Alice,Felis catus,45:37.0,24:24.0, ,9,5,Spayed,f,8,NZ
StellaTag,Stella,Felis catus,16:19.0,49:09.0, No,,11,Spayed,f,15,NZ
SpiceTag,Spice,Felis catus,01:57.0,15:15.0, No,,4,Neutered,m,10,NZ
SelenaTag,Selena,Felis catus,01:57.0,16:17.0, Yes,1,9,Spayed,f,18,NZ
WhiskeyTag,Whiskey,Felis catus,02:28.0,59:24.0, Yes,,1,Neutered,m,16,NZ
MissieTag,Missie,Felis catus,03:45.0,23:12.0, Yes,,4,Spayed,f,10,NZ
KatyTag,Katy,Felis catus,21:02.0,46:21.0, Yes,1,10,Spayed,f,7,NZ
JaxTag,Jax,Felis catus,25:55.0,33:52.0, Yes,1,,Spayed,f,12,NZ
MinervaTag,Minerva,Felis catus,31:09.0,17:34.0, Yes,1,6,Spayed,f,15,NZ
MerlinTag,Merlin,Felis catus,10:08.0,04:57.0,No,,0.9,Neutered,m,12,NZ
CocoTag,Coco,Felis catus,21:43.0,34:52.0, No,,10,Spayed,f,16,NZ
SubieTag,Subie,Felis catus,00:35.0,06:01.0, Yes,11,2,Spayed,f,14,NZ
SkyIITag,SkyII,Felis catus,01:53.0,12:03.0, Yes,11,2,Spayed,f,17,NZ
PollyTag,Polly,Felis catus,02:34.0,58:27.0,No,,7,Neutered,m,10,NZ
