tag_id,animal_id,animal_taxon,deploy_on_date,deploy_off_date,hunt,prey_p_month,animal_reproductive_condition,animal_sex,hrs_indoors,n_cats,study_site,age_years
Jim-Tag,Jim,Felis catus,2017-09-28 01:02:04,2017-10-04 13:42:17,True,3.0,Fixed,f,12.5,3,UK,8.0
Lucy-Tag,Lucy,Felis catus,2017-09-29 00:01:13,2017-10-06 00:44:55,True,0.5,Fixed,f,17.5,1,UK,5.0
Macaulay Mccat-Tag,Macaulay Mccat,Felis catus,2017-09-29 07:01:28,2017-10-26 16:51:39,True,17.5,Fixed,f,2.5,2,UK,6.0
Neil-Tag,Neil,Felis catus,2017-09-30 04:28:02,2017-10-07 00:04:54,False,0.0,Fixed,m,7.5,1,UK,7.0
Siberia-Tag,Siberia,Felis catus,2017-10-09 01:01:51,2017-10-16 00:06:01,True,3.0,Fixed,m,7.5,2,UK,8.0
Moscow-Tag,Moscow,Felis catus,2017-10-23 01:02:09,2017-10-30 02:21:44,True,0.5,Fixed,m,12.5,2,UK,1.0
Neva-Tag,Neva,Felis catus,2017-10-23 01:03:54,2017-10-31 00:09:51,True,0.0,Fixed,f,17.5,2,UK,4.0
Alfie-Tag,Alfie,Felis catus,2017-10-23 01:03:54,2017-10-30 10:20:43,True,3.0,Fixed,m,7.5,2,UK,3.0
Casper-Tag,Casper,Felis catus,2017-10-30 01:02:13,2017-11-06 05:08:45,True,0.5,Fixed,m,12.5,4,UK,6.0
Ginge-Tag,Ginge,Felis catus,2017-10-30 01:05:07,2017-11-07 19:55:30,True,17.5,Fixed,m,2.5,2,UK,3.0
Jasper-Tag,Jasper,Felis catus,2017-11-18 01:46:24,2017-11-25 01:11:30,True,12.5,Fixed,m,7.5,1,UK,2.0
Charlie3-Tag,Charlie3,Felis catus,2017-11-20 01:16:41,2017-11-26 00:38:20,True,7.5,Unneutered,m,12.5,2,UK,5.0
Millie-Tag,Millie,Felis catus,2017-11-20 01:38:55,2017-11-27 00:09:29,True,7.5,Fixed,f,12.5,2,UK,3.0
SmokeyLongnose-Tag,SmokeyLongnose,Felis catus,2017-11-20 01:47:42,2017-11-27 02:53:41,True,0.5,Fixed,f,7.5,2,UK,9.0
CJ-Tag,CJ,Felis catus,2017-11-24 06:48:32,2017-11-29 03:44:48,True,0.5,Fixed,m,22.5,2,UK,5.0
